NOMBRE,NOM_MUN,ENTIDAD,Total UP agropecuaria activas,UP Agricolas,UP Argri Riego ( R ),P UP Riego,UP Riego Gravedad (RG),UP RG Canales revestidos,UP RG Canales de Tierra,UP RG Tuber�a De Compuerta,UP R Por Microaspersi�n,UP R Por Aspersi�n,UP R Por Aspersi�n Pivote Central,UP R Por Aspersi�n Avance Frontal,UP R Por Aspersi�n Ca��n,UP R Por Aspersores,UP R Sistema De Goteo,UP R Mediante Alg�n Otro Sistema
30 VER,Tancoco,  Tancoco,593,545,2,100,100,0,100,0,0,0,0,0,0,0,100,0
30 VER,Tantima,  Tantima,1631,1375,22,100,4.545454545,0,100,0,27.27272727,18.18181818,0,0,0,100,4.545454545,59.09090909
30 VER,Tantoyuca,  Tantoyuca,11479,11194,18,100,44.44444444,12.5,75,50,22.22222222,38.88888889,14.28571429,14.28571429,42.85714286,57.14285714,16.66666667,16.66666667
30 VER,Tatatila,  Tatatila,1045,1015,1,100,0,0,0,0,100,0,0,0,0,0,100,0
30 VER,Castillo de Teayo,  Castillo De Teayo,3708,3661,2,50,100,0,0,100,0,0,0,0,0,0,100,0
30 VER,Tecolutla,  Tecolutla,2844,2546,22,100,18.18181818,0,50,50,0,4.545454545,0,0,0,100,72.72727273,4.545454545
30 VER,Tehuipango,  Tehuipango,3592,3566,4,100,75,33.33333333,66.66666667,0,25,0,0,0,0,0,25,0
30 VER,Álamo Temapache,  Álamo Temapache,13151,13077,101,97.02970297,18.36734694,5.555555556,55.55555556,50,69.3877551,42.85714286,9.523809524,0,11.9047619,85.71428571,15.30612245,1.020408163
30 VER,Tempoal,  Tempoal,3459,2976,121,90.08264463,12.8440367,0,21.42857143,85.71428571,80.73394495,98.16513761,2.803738318,0,80.37383178,45.79439252,0.917431193,0
30 VER,Tenampa,  Tenampa,1375,1372,9,88.88888889,12.5,0,100,0,25,62.5,0,0,0,100,25,12.5
30 VER,Tenochtitlán,  Tenochtitlán,905,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 VER,Teocelo,  Teocelo,2051,2030,63,100,22.22222222,0,85.71428571,14.28571429,3.174603175,66.66666667,2.380952381,0,0,100,12.6984127,0
30 VER,Tepatlaxco,  Tepatlaxco,2020,2017,2,100,50,0,100,0,50,0,0,0,0,0,0,0
30 VER,Tepetlán,  Tepetlán,2045,2006,85,100,81.17647059,4.347826087,55.07246377,42.02898551,8.235294118,18.82352941,6.25,0,12.5,81.25,10.58823529,1.176470588
30 VER,Tepetzintla,  Tepetzintla,1259,1150,2,100,50,0,0,100,50,50,0,0,100,0,0,50
30 VER,Tequila,  Tequila,2638,2624,14,100,78.57142857,0,54.54545455,45.45454545,0,7.142857143,0,0,0,100,0,21.42857143
30 VER,José Azueta,  José Azueta,4098,3979,12,83.33333333,50,20,40,40,20,50,0,20,40,40,30,0
30 VER,Texcatepec,  Texcatepec,1957,1925,1,100,100,0,0,100,0,0,0,0,0,0,0,0
30 VER,Texhuacán,  Texhuacán,724,723,5,100,40,0,100,50,40,40,50,0,50,0,0,20
30 VER,Texistepec,  Texistepec,2794,2660,4,100,25,0,0,100,50,50,0,0,0,100,25,0
30 VER,Tezonapa,  Tezonapa,10661,10632,19,89.47368421,41.17647059,14.28571429,57.14285714,42.85714286,29.41176471,41.17647059,14.28571429,0,28.57142857,71.42857143,11.76470588,5.882352941
30 VER,Tierra Blanca,  Tierra Blanca,10183,8979,1806,99.55703212,43.88209121,20.91254753,54.11913815,53.99239544,7.397107898,47.55283648,1.286549708,0.116959064,73.56725146,29.47368421,11.40155729,0.333704116
30 VER,Tihuatlán,  Tihuatlán,6356,6134,11,100,27.27272727,0,100,0,27.27272727,18.18181818,0,0,0,100,27.27272727,18.18181818
30 VER,Tlacojalpan,  Tlacojalpan,1071,1060,1,100,0,0,0,0,0,100,100,0,100,0,0,0
30 VER,Tlacolulan,  Tlacolulan,1227,1155,3,100,100,0,100,0,0,0,0,0,0,0,0,0
30 VER,Tlacotalpan,  Tlacotalpan,1537,1045,2,100,50,0,0,100,0,50,0,0,0,100,0,0
30 VER,Tlacotepec de Mejía,  Tlacotepec De Mejía,776,767,13,38.46153846,20,0,100,0,20,20,0,0,0,100,60,0
30 VER,Tlachichilco,  Tlachichilco,1845,1749,2,100,0,0,0,0,0,0,0,0,0,0,100,0
30 VER,Tlalixcoyan,  Tlalixcoyan,2684,2073,880,84.43181818,61.23822342,9.010989011,70.98901099,68.35164835,21.66890983,18.03499327,2.985074627,0,26.11940299,76.11940299,36.60834455,1.211305518
30 VER,Tlalnelhuayocan,  Tlalnelhuayocan,380,368,7,100,85.71428571,0,100,0,14.28571429,0,0,0,0,0,14.28571429,14.28571429
30 VER,Tlapacoyan,  Tlapacoyan,1914,1903,121,100,71.90082645,0,48.27586207,54.02298851,1.652892562,0.826446281,0,0,0,100,1.652892562,23.96694215
30 VER,Tlaquilpa,  Tlaquilpa,1230,1213,9,100,44.44444444,0,75,25,44.44444444,22.22222222,0,0,0,100,22.22222222,0
30 VER,Tlilapan,  Tlilapan,140,139,6,100,100,0,100,0,0,0,0,0,0,0,0,0
30 VER,Tomatlán,  Tomatlán,1217,1200,15,93.33333333,28.57142857,25,75,25,0,0,0,0,0,0,57.14285714,21.42857143
30 VER,Tonayán,  Tonayán,894,862,1,100,0,0,0,0,100,100,0,0,0,100,0,0
30 VER,Totutla,  Totutla,2681,2677,10,100,50,0,100,20,10,10,0,0,0,100,40,0
30 VER,Tuxpan,  Tuxpan,5505,4700,12,100,33.33333333,0,75,50,41.66666667,16.66666667,50,0,50,50,58.33333333,16.66666667
30 VER,Tuxtilla,  Tuxtilla,694,654,5,100,0,0,0,0,0,100,20,0,60,20,0,0
30 VER,Ursulo Galván,  Ursulo Galván,1950,1907,1810,100,96.07734807,27.02702703,40.94307073,65.20989074,0.994475138,3.535911602,0,0,7.8125,92.1875,0.386740331,0.718232044
30 VER,Vega de Alatorre,  Vega De Alatorre,937,529,19,100,10.52631579,0,50,50,15.78947368,21.05263158,0,0,50,75,63.15789474,0
30 VER,Veracruz,  Veracruz,542,373,23,95.65217391,54.54545455,25,41.66666667,66.66666667,13.63636364,45.45454545,10,20,70,40,22.72727273,4.545454545
30 VER,Villa Aldama,  Villa Aldama,1132,1127,5,100,0,0,0,0,0,100,100,0,0,100,20,0
